ID Testu,Nazwa,Opis,Warunek Początkowy,Scenariusz,Dane Wejściowe,Oczekiwany Efekt
1,Logowanie poprawne,Test logowania z poprawnymi danymi,Posiadanie konta w aplikacji,Logowanie użytkownika,Login: valid_user,Hasło: valid_password,Użytkownik zostaje zalogowany i przeniesiony na stronę główną.
2,Logowanie niepoprawne,Test logowania z nieprawidłowym hasłem,Posiadanie konta w aplikacji,Logowanie użytkownika,Login: valid_user,Hasło: wrong_password,Wyswietlenie komunikatu o błędzie.
3,Rejestracja użytkownika poprawna,Test rejestracji nowego użytkownika,Nie posiadać konta,Rejestracja nowego użytkownika,Dane: valid_user, valid_password, Użytkownik rejestruje się z sukcesem.
4,Rejestracja użytkownika niepoprawna,Test rejestracji z istniejącym loginem,Dane: istniejącego_użytkownika,Rejestracja nowego użytkownika,Login: existing_user,Hasło: valid_password,Wyswietlenie komunikatu o błędzie.
5,Zarządzanie nieruchomością dodanie,Test dodania nowej nieruchomości,Bycie zalogowanym,Użytkownik dodaje nową nieruchomość,Dane: property_name, property_location,Nieruchomość zostaje dodana pomyślnie.
6,Zarządzanie nieruchomością edytowanie,Test edytowania istniejącej nieruchomości,Zarządzanie nieruchomościami,Użytkownik edytuje nieruchomość,Dane: updated_property_name,Nieruchomość jest zaktualizowana.
7,Zarządzanie nieruchomością usunięcie,Test usunięcia nieruchomości,Zarządzanie nieruchomościami,Użytkownik usuwa nieruchomość,Dane: property_id,Nieruchomość zostaje usunięta pomyślnie.
8,Wiadomości wysyłanie,Test wysyłania wiadomości,Bycie zalogowanym,Użytkownik wysyła wiadomość,Dane: recipient, message,Wiadomość zostaje wysłana.
9,Wiadomości odbieranie,Test odbierania wiadomości,Bycie zalogowanym,Użytkownik odbiera wiadomość,Dane: wiadomość od nadawcy,Wiadomość zostaje poprawnie wyświetlona.
10,Płatności dodawanie,Test dodania metody płatności,Bycie zalogowanym,Użytkownik dodaje nową metodę płatności,Dane: payment_method,Nowa metoda płatności zostaje dodana.
11,Płatności usunięcie,Test usunięcia metody płatności,Bycie zalogowanym,Użytkownik usuwa metodę płatności,Dane: payment_method_id,Metoda płatności zostaje usunięta.
12,Płatności historia,Test przeglądania historii płatności,Bycie zalogowanym,Użytkownik przegląda historię płatności,Dane: user_id,Historia płatności zostaje poprawnie wyświetlona.
13,Panel administracyjny przeglądanie,Test dostępu do panelu admina,Bycie zalogowanym jako admin,Użytkownik przegląda panel administratora,Dane: n/a,Panel administratora zostaje otwarty.
14,Panel administracyjny zarządzanie użytkownikami,Test zarządzania użytkownikami,Bycie zalogowanym jako admin,Użytkownik zarządza użytkownikami,Dane: user_action,Użytkownicy są poprawnie zarządzani.
15,Panel administracyjny audyt,Test audytu transakcji,Bycie zalogowanym jako admin,Użytkownik przegląda audyt,Dane: n/a,Audyty są poprawnie wyświetlane.
16,Bezpieczeństwo test lokalizacji,Test weryfikacji lokalizacji,Użytkownik zalogowany,Użytkownik sprawdza lokalizację,Dane: user_location,Lokalizacja jest poprawnie weryfikowana.
17,Wydajność test czasu ładowania,Test analizy czasu ładowania,Użytkownik zalogowany,Użytkownik analizuje czas ładowania strony,Dane: n/a,Czas ładowania jest w akceptowalnych wartościach.
18,Test UI przycisków,Test interakcji z przyciskami,Użytkownik zalogowany,Użytkownik testuje przyciski na stronie,Dane: button_action,Przyciski działają poprawnie.
19,Test UI formularzy,Test weryfikacji formularzy,Użytkownik zalogowany,Użytkownik testuje formularze,Dane: form_data,Formularze są weryfikowane poprawnie.
20,Test UI responsywności,Test responsywności aplikacji,Użytkownik testujący,Użytkownik testuje responsywność na różnych urządzeniach,Dane: device_size,Aplikacja dobrze się skalibruje.
21,Logowanie błędne dane,Test logowania z pozostałymi danymi,Brak konta,Użytkownik wprowadza błędne dane,Dane: invalid_user,Invalid_password,Wyswietlenie komunikatu o błędzie.
22,Rejestracja tytułowy,Test rejestracji tytulu,Nie posiadać konta,Rejestracja nowego użytkownika,Dane: title_and_data,Użytkownik rejestruje się z sukcesem.
23,Bezpieczeństwo test prób logowania,Test prób logowania,Użytkownik testujący,Test przypadków błędnego logowania,Dane: user_test,Zapisane błędne próby logowania muszą być poprawne.\n24,Rejestracja uzupełnienie,Test rejestracji z danymi zapasowymi,Nie posiadać konta,Rejestracja użytkownika,Dane: backup_user, backup_password,Użytkownik rejestruje się z sukcesem.
25,Zarządzanie nieruchomości wyświetlanie,Test wyświetlania nieruchomości,Bycie zalogowanym,Użytkownik wyświetla listę nieruchomości,Dane: n/a,Nieruchomości zostaną wyświetlone w interfejsie.
26,Zarządzanie nieruchomości filtrowanie,Test filtrowania nieruchomości,Zarządzanie niuchomościami,Użytkownik wprowadza filtr,Dane: filter_option,Nieruchomości są poprawnie filtrowane.
27,Wiadomości usunięcie,Test usunięcia wiadomości,Bycie zalogowanym,Użytkownik usuwa wiadomość,Dane: message_id,Wiadomość zostaje usunięta pomyślnie.
28,Płatności szczegóły,Test przeglądania szczegółów płatności,Bycie zalogowanym,Użytkownik przegląda szczegóły płatności,Dane: payment_id,Szczegóły płatności są poprawnie wyświetlone.
29,Panel administracyjny edycja uprawnień,Test edycji uprawnień użytkowników,Bycie zalogowanym jako admin,Użytkownik edytuje uprawnienia,Dane: permissions_data,Uprawnienia zostaną zaktualizowane.
30,Wydajność test obciążenia,Test obciążenia aplikacji,Wszyscy użytkownicy,Użytkownik testuje obciążenie aplikacji,Dane: load_test_data,Aplikacja reaguje na obciążenie.
31,UI test linków,Test działania linków,Użytkownik zalogowany,Użytkownik testuje linki na stronie,Dane: link_action,Linki są aktywne i działają.
32,UI test kolorów,Test poprawności kolorów,Użytkownik testujący,Użytkownik sprawdza kolory na stronie,Dane: color_scheme,Kolory są poprawne.
33,Zarządzanie nieruchomości archiwizacja,Test archiwizacji nieruchomości,Bycie zalogowanym jako admin,Użytkownik archiwizuje nieruchomość,Dane: property_id,Nieruchomość zostaje zarchiwizowana.
34,Płatności odbiór,Test odbioru płatności,Bycie zalogowanym,Użytkownik odbiera płatność,Dane: payment_data,Płatność zostaje poprawnie odbierana.
35,Wiadomości historia,Test przeglądania historii wiadomości,Bycie zalogowanym,Użytkownik przegląda historię wiadomości,Dane: user_id,Historia wiadomości zostaje poprawnie wyświetlona.
36,Panel administracyjny statystyki,Test przeglądania statystyk,Bycie zalogowanym jako admin,Użytkownik przegląda statystyki aplikacji,Dane: n/a,Statystyki są poprawnie wyświetlane.
37,Wydajność test szybkości,Test analizy szybkości działania,Użytkownik zalogowany,Użytkownik analizuje szybkość działania aplikacji,Dane: n/a,Szybkość działania jest w akceptowalnych wartościach.
38,Bezpieczeństwo prób wyłudzania,Test prób wyłudzania danych,Użytkownik testujący,Użytkownik testuje próbę wyłudzenia,Dane: phishing_test,Bezpieczne komunikaty są wyświetlane.
39,UI test nawigacji,Test działania nawigacji,Użytkownik testujący,Użytkownik testuje nawigację po aplikacji,Dane: navigation_action,Nawigacja działa płynnie.
40,Płatności waluty,Test przeglądania walut,Dane użytkownika waluta,Bycie zalogowanym,Użytkownik przegląda waluty,Dane: user_currency,Wszystkie waluty są poprawnie wyświetlane.
41,Zarządzanie nieruchomością widoczność,Test widoczności nieruchomości,Użytkownik testujący,Użytkownik sprawdza widoczność nieruchomości,Dane: visibility_check,Nieruchomość jest poprawnie widoczna.
42,Kontrola bezpieczeństwa,Test monitorowania bezpieczeństwa,Bycie administratorem,Użytkownik testuje kontrolę bezpieczeństwa,Dane: security_check,Bezpieczeństwo jest na odpowiednim poziomie.
43,Wydajność weryfikacja odpornych,Test weryfikacji odporności na błędy,Użytkownik testujący,Użytkownik testuje odporność aplikacji na błędy,Dane: resilience_test,Aplikacja przechodzi testy odporności.
44,UI test elementów,Test interakcji z elementami,Użytkownik testujący,Użytkownik testuje różne elementy,Dane: element_action,Elementy działają poprawnie.
45,Płatności powiadomienia,Test powiadomień o płatnościach,Bycie zalogowanym,Użytkownik odbiera powiadomienia,Dane: payment_notification,Powiadomienia są przesyłane.
46,Płatności zwrot,Test przetwarzania zwrotu,Użytkownik zalogowany,Użytkownik przetwarza zwrot,Dane: return_data,Zwrot zostaje przetworzony pomyślnie.
47,Zarządzanie nieruchomości zabezpieczenia,Test bezpieczeństwa nieruchomości,Bycie zalogowanym,Użytkownik sprawdza zabezpieczenia nieruchomości,Dane: security_data,Zabezpieczenia są poprawne.
48,Wydajność test szybkości ładowania,Test analizy czasu ładowania strony,Zalogowany użytkownik,Użytkownik analizuje czas ładowania,Dane: load_test,Czas ładowania jest w akceptowalnych wartościach.
49,Płatności test walidacji,Test walidacji płatności,Bycie zalogowanym,Użytkownik testuje walidację płatności,Dane: payment_validation,Wszystkie płatności są prawidłowo walidowane.
50,UI test dostępności,Test dostępności aplikacji,Użytkownik testujący,Użytkownik testuje dostępność,Dane: accessibility_check,Aplikacja jest dostępna dla wszystkich użytkowników.